thresh,npix,tnpix,xmin,xmax,ymin,ymax,x,y,x2,y2,xy,errx2,erry2,errxy,a,b,theta,cxx,cyy,cxy,cflux,flux,cpeak,peak,xcpeak,ycpeak,xpeak,ypeak,flag
50.0,27,17,245,250,40,45,247.05319712464015,42.28677041697422,1.0732242073186624,1.120739702354868,0.08735015194785056,0.0,0.0,0.0,1.0897271633148193,1.0032241344451904,0.9181777238845825,0.9377202391624451,0.8979641199111938,-0.14617133140563965,9696.3662109375,9872.365234375,1284.419189453125,2627.218994140625,247,42,247,42,0
50.0,22,20,0,5,44,47,2.4703948470179253,45.57023342253004,1.5209958798056373,0.8467976711597589,-0.044072572706580715,0.0,0.0,0.0,1.2344491481781006,0.9186559915542603,-0.06500165909528732,0.6584569811820984,1.1827032566070557,0.06854032725095749,5736.6044921875,6058.4091796875,584.5291748046875,1012.9666137695312,3,45,3,45,2
50.0,12,9,71,74,44,47,72.4424360728761,45.51879007986595,0.7512239571024777,0.7383287774538023,-0.021478146705735224,0.0,0.0,0.0,0.8759003281593323,0.8499125242233276,-0.6395812034606934,1.3322690725326538,1.3555375337600708,0.0775119960308075,1163.448486328125,1337.0059814453125,161.4994659423828,311.62921142578125,72,46,72,46,0
50.0,16,9,12,16,46,49,13.95921607419027,47.47795607432384,0.9430468190693331,0.7870954024714534,0.013183616789322006,0.0,0.0,0.0,0.9716755747795105,0.8865600824356079,0.08374471217393875,1.0606410503387451,1.2707915306091309,-0.035530854016542435,2008.5849609375,2123.098876953125,272.3307800292969,504.41802978515625,14,47,14,47,1
50.0,17,9,17,21,46,50,18.72597039000662,48.00849141309172,0.9033394192635429,0.8863267392929401,0.007650609382509277,0.0,0.0,0.0,0.9519841074943542,0.9398895502090454,0.366241991519928,1.1070845127105713,1.1283345222473145,-0.019112300127744675,2751.274169921875,2902.067626953125,396.1415710449219,812.0254516601562,19,48,19,48,1
50.0,11,7,224,227,48,50,225.38862302350998,49.1158059708202,0.8085517082617493,0.540539019443534,0.08786137747350065,0.0,0.0,0.0,0.9136666655540466,0.7171498537063599,0.29016873240470886,1.2590171098709106,1.883269190788269,-0.4092913866043091,1238.264892578125,1442.6507568359375,197.9229736328125,378.85107421875,225,49,225,49,0
50.0,15,9,59,63,48,51,60.85277039074554,49.66490048206532,0.8592394330266915,0.7884839358973754,0.04962131525629454,0.0,0.0,0.0,0.9406397342681885,0.8734530806541443,0.47571438550949097,1.1680651903152466,1.2728828191757202,-0.1470186710357666,2221.733154296875,2388.537841796875,329.3011169433594,665.668701171875,61,50,61,50,0
50.0,20,13,93,97,47,51,94.9211888018082,49.417225936743264,1.0641210484786443,0.9636780765249746,0.11412623777785669,0.0,0.0,0.0,1.067046046257019,0.9429803490638733,0.5781229138374329,0.9518322348594666,1.051040530204773,-0.22544671595096588,4165.48095703125,4363.4736328125,550.4712524414062,1063.6644287109375,95,49,95,49,1
50.0,8,6,98,100,51,53,99.42724115657408,51.53286506091032,0.6305993830177563,0.5532086065728457,0.01814058158456433,0.0,0.0,0.0,0.7966433167457581,0.7410582900047302,0.21919071674346924,1.5872901678085327,1.8093432188034058,-0.10409948974847794,731.587890625,922.6113891601562,138.41310119628906,285.26654052734375,99,52,99,52,1
50.0,17,11,145,149,47,50,146.90277093081167,48.39331266431002,0.9447093448134627,0.7953860331933464,0.05696544336222864,0.0,0.0,0.0,0.9818143844604492,0.8809857368469238,0.32587873935699463,1.0631178617477417,1.2627042531967163,-0.15228071808815002,3559.39599609375,3762.44921875,509.88818359375,1002.3045043945312,147,48,147,48,1
50.0,18,12,149,153,50,53,151.3002264236198,51.70965457551608,1.0094032981397483,0.8170183829695237,0.13385793995690465,0.0,0.0,0.0,1.0382903814315796,0.865086555480957,0.47384268045425415,1.0126864910125732,1.251145839691162,-0.33183130621910095,4151.94580078125,4379.0009765625,600.5,1286.5926513671875,151,52,151,52,1
50.0,12,7,165,168,51,54,166.53748256895483,52.51515487886505,0.6996930065283617,0.6899955222429308,0.0019507103028590933,0.0,0.0,0.0,0.836702287197113,0.8304322957992554,0.19124922156333923,1.4292094707489014,1.449296236038208,-0.008081135340034962,1552.9241943359375,1754.5030517578125,222.06394958496094,389.4140625,167,53,166,53,0
50.0,25,19,67,72,51,55,69.45793917789427,53.22964398192084,1.0963872566351025,0.9750676496469515,0.05318685390227529,0.0,0.0,0.0,1.056599497795105,0.977267861366272,0.35992586612701416,0.9145063757896423,1.028290867805481,-0.09976685792207718,10416.8623046875,10651.615234375,1319.7869873046875,2442.309814453125,69,53,69,53,0
50.0,11,8,7,10,54,57,8.12832478156011,55.842536736876646,0.6712676800045687,0.6708677809155223,0.025725292049533,0.0,0.0,0.0,0.8347417712211609,0.8033316135406494,0.7815120220184326,1.4919111728668213,1.4928004741668701,-0.11441852152347565,1310.1162109375,1515.54638671875,221.0626220703125,471.13189697265625,8,56,8,56,0
50.0,90,79,53,63,36,46,56.97294009324406,41.15509037556166,1.5289100428843234,1.4790528306163964,0.02320267289381306,0.0,0.0,0.0,1.2401763200759888,1.2124048471450806,0.37477731704711914,0.654216468334198,0.6762693524360657,-0.020526070147752762,173206.171875,173430.671875,22553.21875,46989.5,57,41,57,41,1
50.0,175,152,42,56,40,57,47.217420835020874,46.56632956294584,3.0244640846767084,3.4981258726178623,0.4367944991838044,0.0,0.0,0.0,1.9385982751846313,1.6626564264297485,1.0338164567947388,0.33670899271965027,0.2911171019077301,-0.08408652991056442,324472.40625,324981.15625,34615.9375,67723.078125,47,47,47,47,1
50.0,7,5,89,91,55,57,89.64207030100586,55.89719674633583,0.4145405780406549,0.5040085637524265,0.011491776570903278,0.0,0.0,0.0,0.7109578251838684,0.6427192687988281,1.4450693130493164,2.413834810256958,1.985348105430603,-0.11007452011108398,592.8243408203125,803.640380859375,117.62696075439453,221.8535919189453,90,56,89,56,0
50.0,11,8,159,162,55,58,160.37463483617245,56.79844681852832,0.6615802966593232,0.7583017123029308,0.06177578090163793,0.0,0.0,0.0,0.8879160284996033,0.7946616411209106,1.117493748664856,1.5231186151504517,1.3288447856903076,-0.24816465377807617,1206.931884765625,1359.292724609375,198.0387420654297,429.97308349609375,160,57,160,57,1
50.0,11,10,93,96,56,59,94.14855039841134,57.146241883926024,0.6729101787535434,0.6633779926687697,-0.009135258965327742,0.0,0.0,0.0,0.823679506778717,0.8110735416412354,-0.544960081577301,1.4863603115081787,1.5077180862426758,0.040936801582574844,1415.580078125,1645.8800048828125,241.67974853515625,516.0671997070312,94,57,94,57,0
50.0,22,12,103,107,55,59,104.90915821018359,56.909244763151065,0.9822782507113006,0.9486182579174409,0.06519308635892651,0.0,0.0,0.0,1.0162571668624878,0.9476907849311829,0.659078061580658,1.0227062702178955,1.0589951276779175,-0.14056944847106934,6809.1884765625,7001.2041015625,999.5093994140625,2167.06982421875,105,57,105,57,0
50.0,52,46,214,220,52,59,216.4647238459248,55.66048672074991,1.4123233192146536,1.4613912194109915,-0.049217274668951205,0.0,0.0,0.0,1.2214133739471436,1.1755270957946777,-1.016614556312561,0.708885133266449,0.6850835084915161,0.04774819314479828,34788.5703125,35065.48828125,4246.23095703125,8999.10546875,216,56,216,56,0
50.0,9,8,40,42,59,61,40.99749004593315,60.08854677220082,0.5671819518682533,0.5607913432542886,0.008324659518423427,0.0,0.0,0.0,0.756903886795044,0.7450301051139832,0.6021507978439331,1.7634868621826172,1.7835830450057983,-0.052356112748384476,906.814208984375,1101.7022705078125,169.65953063964844,359.61968994140625,41,60,41,60,0
50.0,7,4,59,61,59,61,59.64030684666617,59.85945761468638,0.4079130639428453,0.5000211503258435,0.020463429434385394,0.0,0.0,0.0,0.7101850509643555,0.6352726817131042,1.3617298603057861,2.4565460681915283,2.0040297508239746,-0.2010689377784729,629.0707397460938,856.006591796875,125.40644073486328,230.80812072753906,60,60,59,60,0
50.0,61,56,127,135,53,61,130.36532174936784,56.526262442087784,1.4530243398717317,1.3744049686478768,-0.026478411643674704,0.0,0.0,0.0,1.2087639570236206,1.1688964366912842,-0.2963884472846985,0.688461422920227,0.7278431057929993,0.0265269186347723,62156.94140625,62522.06640625,7269.6201171875,14435.580078125,130,57,130,57,0
50.0,10,7,194,196,58,61,195.04094413804705,59.25707837499581,0.524295909306034,0.7070684575293911,0.00797178207239524,0.0,0.0,0.0,0.8410799503326416,0.7238430976867676,1.5272905826568604,1.907646894454956,1.4145326614379883,-0.04301520064473152,1128.482666015625,1337.209716796875,201.6759033203125,423.78289794921875,195,59,195,59,0
50.0,8,6,123,125,64,66,123.90126742911421,65.24121921438001,0.5271694819114041,0.49267812159797053,0.07370020469487026,0.0,0.0,0.0,0.7652547359466553,0.6589633822441101,0.67046719789505,1.9374415874481201,2.07307767868042,-0.5796476006507874,813.8740844726562,1069.7760009765625,160.62423706054688,319.71099853515625,124,65,124,65,0
50.0,11,7,26,29,58,60,27.491194806595814,58.556263962122394,0.8459219108260738,0.6642218565686349,-0.13108373695202769,0.0,0.0,0.0,0.9563266634941101,0.7717403173446655,-0.48236873745918274,1.2194339036941528,1.5530140399932861,0.4813089370727539,1075.3558349609375,1217.0023193359375,162.2681427001953,316.349365234375,27,59,27,59,1
50.0,17,11,104,108,65,68,106.00342148640459,66.67707697785178,0.9892502632323055,0.8320543293570033,-0.09697992731543481,0.0,0.0,0.0,1.0175869464874268,0.8864656686782837,-0.44485610723495483,1.0225505828857422,1.215735912322998,0.23836635053157806,2510.927001953125,2700.501953125,373.7049560546875,799.419921875,106,67,106,67,0
50.0,10,8,79,82,68,70,80.18381509666087,69.02563156565041,0.6918586194062517,0.5352209566948307,0.009525211569031411,0.0,0.0,0.0,0.8321272134780884,0.7311934232711792,0.06051328405737877,1.445736289024353,1.8688451051712036,-0.05145891010761261,1091.85400390625,1306.32568359375,198.05926513671875,429.91693115234375,80,69,80,69,0
50.0,34,25,149,156,64,70,153.42593708104195,67.37515025433171,1.533145499819625,1.1382627742421718,0.2867772124989951,0.0,0.0,0.0,1.2976428270339966,0.9937461614608765,0.48392075300216675,0.6845123767852783,0.9219813346862793,-0.34491604566574097,15452.6748046875,15620.5400390625,1803.148681640625,3189.898193359375,153,67,153,67,1
50.0,15,12,156,159,66,70,157.46205694287892,68.48084398373125,0.7201013177210864,1.0036999593884701,-0.08415829752960713,0.0,0.0,0.0,1.0133081674575806,0.834869921207428,-1.3029820919036865,1.402436375617981,1.0061734914779663,0.23518314957618713,3186.695556640625,3425.92529296875,455.45867919921875,735.4257202148438,157,68,157,69,1
50.0,78,71,2,12,62,71,5.205185147234452,66.28856961813439,1.8288817101136665,1.4712567428956511,-0.12702753209442896,0.0,0.0,0.0,1.3672633171081543,1.1961311101913452,-0.3088342845439911,0.5500809550285339,0.6837915778160095,0.0949873998761177,81830.890625,82188.515625,10057.6025390625,19637.751953125,5,66,5,66,0
